FirstName,LastName,Email,PhoneNumber,Address,City,State,Country,ZipCode,PreviousCity,ProductName,Category,Price,PreviousPrice,PurchaseDate,StoreName,StoreLocation,StoreType,OpeningDate,ManagerName,PaymentType,Provider,PromotionName,DiscountPercentage,PromotionType,IsActivePromotion,QuantitySold,TotalSales,DiscountAmount,NetSales
Benjamin,Lawson,maria89@example.net,001-804-739-4570x167,"00828 Young Walk Apt. 060, Harrisburgh, OR 64222",Port Daniel,Maine,Antigua and Barbuda,84534,Marshallland,huge (New),throughout,$510.98,$1.48,2021-11-14,Page-Flores Inc.,"061 Mark Creek, Aaronport, IL 82900",Boutique,2024-01-10,Angel Fernandez,debit card,Maestro,Implemented full-range time-frame!,30.24,Seasonal,1,5 units,$2554.9,$772.6,$1782.3
Alyssa,Nelson,nancyscott@example.net,621.813.1375x5942,"47294 Jodi Vista Apt. 901, Rebeccafort, VT 40257",Stephenhaven,Tennessee,Seychelles,29075,Alyssaborough,for(Refurbished),only,$863.43,$13.32,2021-01-01,"Kerr, Garza and Mendoza","34109 Ricky Loaf Suite 813, Beltranburgh, PR 01849",Supermarket,2024-09-18,Jonathan Lucero,credit card,Visa,Inverse 24/7 open system,8.36,Seasonal,1,1 units,$863.43,$72.18,$791.25
Rhonda,Navarro,jason02@example.net,396.615.7908,"3114 Jones Overpass, Jessicafurt, GA 50665",Benjaminburgh,Iowa,Bermuda,87677,Lake Jesse,left (New),full,$710.91,$3.96,2024-07-02,Huff-Gray Co.,"5686 Diana Via Apt. 065, East Chris, MP 48828",Boutique,2024-06-24,Billy Davis,Credit Card,MasterCard,Adaptive client-driven info-mediaries!,31.71,Clearance,1,4 units,$2843.64,$901.72,$1941.92
Christina,Thompson,griffinholly@example.com,+1-202-640-5885x2848,"313 Michael Lake, East Andrechester, NE 18920",Johnsonton,Nevada,Ukraine,89713,North Adriennechester,right,maintain,$633.43,$32.7,2023-07-23,"Snyder, Martinez and Aguilar Co.","PSC 9002, Box 7859, APO AE 39807",Supermarket,2006-04-08,Scott Wang,Bank Transfer,Local Bank,Quality-focused fresh-thinking intranet!,26.59,Clearance,0,2 units,$1266.86,$336.86,$930.0
Amanda,Lamb,tlee@example.net,001-481-499-8058x3666,"8145 Walker Vista, Wardberg, KY 20439",New Rebecca,Indiana,Belgium,89197,East Brett,successful-A,us,$266.74,$33.05,2021-06-25,Jenkins PLC,"PSC 8095, Box 6242, APO AA 80459",Boutique,2024-06-11,Sherry Hansen,credit card,Visa,Self-enabling holistic neural-net!,25.36,Clearance,0,2 units,$533.48,$135.29,$398.19
Joshua,Vang,norman41@example.net,(885)517-3194x479,"111 Brian Cliff Apt. 589, Colonland, ND 02924",Kingfort,Texas,Saudi Arabia,20237,Turnerport,today-A,consumer,$86.9,$49.85,2024-06-22,Gonzalez Group Inc.,"77782 James Crossroad, Fishershire, VT 03691",Boutique,2024-08-19,Marie Carter,Credit Card,MasterCard,Compatible intangible success!,25.5,Clearance,0,8 units,$695.2,$177.28,$517.92
Douglas,Martin,mhuerta@example.net,+1-228-945-2628x1693,"2251 Harrison Square Suite 063, Arroyoville, FL 31644",West Brian,Idaho,Nigeria,78222,East Kristimouth,above-A,care,$958.3,$44.6,2024-05-09,"Johnson, Tate and Smith Co.","60662 Thomas Gardens, Gregorystad, AL 78962",Supermarket,2000-06-28,Jennifer Trevino,debit card,Maestro,Horizontal solution-oriented pricing structure!,41.12,Clearance,0,3 units,$2874.9,$1182.16,$1692.74
Lisa,Mann,jodyjenkins@example.org,+1-960-438-6723,"0604 Young Meadows Apt. 344, North Christinemouth, IA 57932",North Stevenland,New Jersey,Cape Verde,39929,Lake Nicolechester,be-A,write,$661.57,$34.86,2024-08-16,"Martinez, Vasquez and Rivera LLC","370 Vanessa Rest, Lake Derrick, NH 49301",Warehouse,2024-06-10,Thomas Thomas,Credit Card,MasterCard,Expanded user-facing circuit,20.78,Clearance,1,4 units,$2646.28,$549.9,$2096.38
Darlene,Guerrero,edouglas@example.net,+1-982-987-8488x4557,"087 Rogers Grove, North Andreatown, PA 50402",Ronaldville,Rhode Island,Jersey,56342,South James,vote(Refurbished),could,$588.69,$2.74,2024-06-12,Castillo PLC Inc.,"913 Perkins Mountain Apt. 198, Cynthiaport, RI 34327",Warehouse,2024-04-07,Elizabeth Chen,credit card,Visa,Optional context-sensitive knowledge user,32.91,Seasonal,0,6 units,$3532.14,$1162.43,$2369.71
Jessica,Ferguson,melissachan@example.org,206.527.7608x426,"1403 Smith Mission, West Marc, PR 93190",Sanchezfurt,Connecticut,Guernsey,06396,West Edwardshire,reveal (New),decide,$192.1,$25.97,2021-06-30,Gardner Inc Co.,"23812 Ramsey Rapid, South Christopherfurt, WA 87952",Supermarket,2024-08-16,Danielle Munoz,debit card,Maestro,Mandatory 24/7 application,21.2,Buy One Get One,0,2 units,$384.2,$81.45,$302.75
